"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Description"
"BH3AAPC","MPD (Memory Protection Devices)","BH3AA-PC-ND","BT1","","Bulk","Active","1","BATTERY HOLDER AA 3 CELL PC PIN"
"CL21F104ZAANNNC","Samsung Electro-Mechanics","1276-1286-1-ND","C1 C15 C17 C18","","Cut Tape (CT)","Active","4","CAP CER 0.1UF 25V Y5V 0805"
"CL21B103KBCNNNC","Samsung Electro-Mechanics","1276-1078-1-ND","C5 C6","","Cut Tape (CT)","Active","2","CAP CER 10000PF 50V X7R 0805"
"CC0402MRX5R5BB106","Yageo","311-1729-1-ND","C16","","Cut Tape (CT)","Discontinued at Digi-Key","1","CAP CER 10UF 6.3V X5R 0402"
"TMK212BJ105KG-T","Taiyo Yuden","587-1291-1-ND","C2 C9 C10 C12 C14 C19 C20","","Cut Tape (CT)","Active","7","CAP CER 1UF 25V X5R 0805"
"CC0805KRX7R9BB221","Yageo","311-1123-1-ND","C11 C13","","Cut Tape (CT)","Active","2","CAP CER 220PF 50V X7R 0805"
"EEE-FT0J221AR","Panasonic Electronic Components","P15078CT-ND","C7 C8","","Cut Tape (CT)","Active","2","CAP ALUM 220UF 20% 6.3V SMD"
"08051A220KAT2A","AVX Corporation","478-3736-1-ND","C3 C4","","Cut Tape (CT)","Active","2","CAP CER 22PF 100V C0G/NP0 0805"
"35RASMT4BHNTRX","Switchcraft Inc.","SC1488-1-ND","J2","","Cut Tape (CT)","Active","1","CONN JACK STEREO 3.5MM SMD R/A"
"693072010801","Wurth Electronics Inc.","732-3820-1-ND","J3","","Cut Tape (CT)","Active","1","CONN MICRO SD CARD HINGED TYPE"
"614105150721","Wurth Electronics Inc.","732-5958-1-ND","J1","","Cut Tape (CT)","Active","1","CONN RCPT USB TYPE B"
"MMZ1608B121CTAH0","TDK Corporation","445-2164-1-ND","L1 L2 L3 L4 L5","","Cut Tape (CT)","Active","5","FERRITE BEAD 120 OHM 0603 1LN"
"GF0666M","CUI Inc.","GF0666M-ND","LS1","","Box","Active","1","SPEAKER 8OHM 500MW TOP PORT 83DB"
"CRCW0805100KJNEAC","Vishay Dale","541-4164-1-ND","R2 R8 R9 R10 R11 R13 R17","","Cut Tape (CT)","Active","7","RES SMD 100K OHM 5% 1/8W 0805"
"RC0805JR-07100RL","Yageo","311-100ARCT-ND","R4 R5 R6 R7","","Cut Tape (CT)","Active","4","RES SMD 100 OHM 5% 1/8W 0805"
"RC2012J103CS","Samsung Electro-Mechanics","1276-5552-1-ND","R12 R15 R18 R19 R20","","Cut Tape (CT)","Active","5","RES SMD 10K OHM 5% 1/8W 0805"
"RC0805JR-071KL","Yageo","311-1.0KARCT-ND","R1 R14 R16","","Cut Tape (CT)","Active","3","RES SMD 1K OHM 5% 1/8W 0805"
"RC0805JR-071ML","Yageo","311-1.0MARCT-ND","R3","","Cut Tape (CT)","Active","1","RES SMD 1M OHM 5% 1/8W 0805"
"B3U-1000P","Omron Electronics Inc-EMC Div","SW1020CT-ND","RESET1","","Cut Tape (CT)","Active","1","SWITCH TACTILE SPST-NO 0.05A 12V"
"OS102011MS2QN1","C&K","CKN9565-ND","SW5","","Bulk","Active","1","SWITCH SLIDE SPDT 100MA 12V"
"PEC11R-4115F-S0018","Bourns Inc.","PEC11R-4115F-S0018-ND","SW1","","Tray","Active","1","ROTARY ENCODER MECHANICAL 18PPR"
"219-3MST","CTS Electrocomponents","CT2193MST-ND","SW6","","Tube","Active","1","SWITCH SLIDE DIP SPST 100MA 20V"
"MJTP1230D","APEM Inc.","679-2432-ND","SW2 SW3","","Bulk","Active","2","SWITCH TACTILE SPST-NO 0.05A 12V"
"AP2112K-1.8TRG1","Diodes Incorporated","AP2112K-1.8TRG1DICT-ND","U5","","Cut Tape (CT)","Active","1","IC REG LINEAR 1.8V 600MA SOT25"
"PAM8302AADCR","Diodes Incorporated","PAM8302AADCRDICT-ND","U3","","Cut Tape (CT)","Active","1","IC AMP AUDIO 2.5W CLASS D 8SOIC"
"ABM8G-12.288MHZ-4Y-T3","Abracon LLC","535-10902-1-ND","Y1","","Cut Tape (CT)","Active","1","CRYSTAL 12.2880MHZ 10PF SMD"
"3314J-1-103E","Bourns Inc.","3314J-103ECT-ND","RV1","","Cut Tape (CT)","Active","1","TRIMMER 10K OHM 0.25W J LEAD TOP"
"151051VS04000","Wurth Electronics Inc.","732-5017-ND","GLED","","Bulk","Active","1","LED GREEN DIFFUSED 5MM ROUND T/H"
"151051RS11000","Wurth Electronics Inc.","732-5016-ND","RLED","","Bulk","Active","1","LED RED DIFFUSED 5MM ROUND T/H"
"151051BS04000","Wurth Electronics Inc.","732-5015-ND","BLED","","Bulk","Active","1","LED BLUE DIFFUSED 5MM ROUND T/H"
