Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digikey Part No.,Digikey Part No. ,Field8,Field4,Field7,Field6,Field5
1,Battery (multiple cells),Battery,BT1,Battery,BatteryHolder_BH3AAPC_3xAA,1,~,BH3AA-PC-ND,,,,,,
2,Unpolarized capacitor,C_Small,C1 C15 C17 C18,0.1uF,C_0805_2012Metric,4,~,1276-1286-1-ND,,,,,,
3,Unpolarized capacitor,C_Small,C5 C6,10nF,C_0805_2012Metric,2,~,1276-1078-1-ND,,,,,,
4,Unpolarized capacitor,C_Small,C16,10uF,C_0805_2012Metric,1,~,311-1729-1-ND,,,,,,
5,Unpolarized capacitor,C_Small,C2 C9 C10 C12 C14 C19 C20,1uF,C_0805_2012Metric,7,~,587-1291-1-ND,,,,,,
6,Unpolarized capacitor,C_Small,C11 C13,220pF,C_0805_2012Metric,2,~,311-1123-1-ND,,,,,,
7,Polarised capacitor,CP1_Small,C7 C8,220uF,CP_Elec_5x5.3,2,~,P15078CT-ND,,,,,,
8,Unpolarized capacitor,C_Small,C3 C4,22pF,C_0805_2012Metric,2,~,478-3736-1-ND,,,,,,
9,LED generic,LED,D1 D2 D3,LED,LED_D5.0mm,3,~,,,,,,,
10,"D Audio Jack, 3 Poles (Stereo / TRS), Grounded Sleeve, Switched Poles (Normalling)",AudioJack3_Ground_Switch,J2,HPJACK,Jack_3.5mm_35RASMT4BHNTRX_Horizontal,1,~,SC1488-1-ND,,,,,,
11,Micro SD Card Socket,Micro_SD_Card,J3,Micro_SD_Card,microSD_HC_Wuerth_693072010801,1,http://katalog.we-online.de/em/datasheet/693072010801.pdf,732-3820-1-ND,,,,,,
12,USB mini/micro connector,USB_OTG,J1,USB_OTG,USB_Micro-B_Wuerth_614105150721_Vertical,1, ~,732-5958-1-ND,,,,,,
13,"Solder Jumper, 3-pole, open",SolderJumper_3_Open,JP8,1v8EN,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,~,,,,,,,
14,"Solder Jumper, 3-pole, open",SolderJumper_3_Open,JP6,MP3RXSEL,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,~,,,,,,,
15,"Jumper, normally open",Jumper_NO_Small,JP4 JP5 JP7,RST,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,~,,,,,,,
16,Ferrite bead,Ferrite_Bead,L1 L2,AFLTR,L_0805_2012Metric,2,~,445-2164-1-ND,,,,,,
17,Ferrite bead,Ferrite_Bead,L3,GFLTR,L_0805_2012Metric,1,~,445-2164-1-ND,,,,,,
18,Ferrite bead,Ferrite_Bead,L4 L5,SPFLTR,L_0805_2012Metric,2,~,445-2164-1-ND,,,,,,
19,speaker,Speaker,LS1,Speaker,TerminalBlock_MetzConnect_Type059_RT06302HBWC_1x02_P3.50mm_Horizontal,1,~,,,,,,,
20,"Resistor, small symbol",R_Small,R2 R8 R9 R10 R11 R13 R17,100K,R_0805_2012Metric,7,~,,541-4164-1-ND,,,,,
21,"Resistor, small symbol",R_Small,R4 R5 R6 R7,100R,R_0805_2012Metric,4,~,,311-100ARCT-ND,,,,,
22,"Resistor, small symbol",R_Small,R12 R15 R18 R19 R20,10K,R_0805_2012Metric,5,~,,1276-5552-1-ND,,,,,
